id_estacion,estacion_ruta,tipo_servicio,tipo_servicio_agrupado,zona_largo,zona,corredor_servicio,gps_latitud,gps_longitud,Nombre_estacion
50,A55S,Rutas,Alimentadoras,Zona 5 - Aguablanca,Cinco,Ruta,0,0,A55S
51,A56,Rutas,Alimentadoras,Zona 5 - Aguablanca,Cinco,Ruta,0,0,A56
52,A57,Rutas,Alimentadoras,Zona 5 - Aguablanca,Cinco,Ruta,0,0,A57
53,A61,Rutas,Alimentadoras,Zona 6 - Simón Bolívar,Seis,Ruta,0,0,A61
54,A62,Rutas,Alimentadoras,Zona 6 - Simón Bolívar,Seis,Ruta,0,0,A62
55,A63,Rutas,Alimentadoras,Zona 6 - Simón Bolívar,Seis,Ruta,0,0,A63
56,A64,Rutas,Alimentadoras,Zona 6 - Simón Bolívar,Seis,Ruta,0,0,A64
57,A70,Rutas,Alimentadoras,Zona 7 - Cañaveralaejo,Siete,Ruta,0,0,A70
58,A71,Rutas,Alimentadoras,Zona 7 - Cañaveralaejo,Siete,Ruta,0,0,A71
59,A72A,Rutas,Alimentadoras,Zona 7 - Cañaveralaejo,Siete,Ruta,0,0,A72A
60,A72B,Rutas,Alimentadoras,Zona 7 - Cañaveralaejo,Siete,Ruta,0,0,A72B
61,A73,Rutas,Alimentadoras,Zona 7 - Cañaveralaejo,Siete,Ruta,0,0,A73
62,A75,Rutas,Alimentadoras,Zona 7 - Cañaveralaejo,Siete,Ruta,0,0,A75
63,A78A,Rutas,Alimentadoras,Zona 7 - Cañaveralaejo,Siete,Ruta,0,0,A78A
64,A81,Rutas,Alimentadoras,Zona 5 - Aguablanca,Cinco,Ruta,0,0,A81
65,A82,Rutas,Alimentadoras,Zona 8 - Calipso,Ocho,Ruta,0,0,A82
66,A83,Rutas,Alimentadoras,Zona 8 - Calipso,Ocho,Ruta,0,0,A83
67,A99,Prueba,Alimentadoras,Prueba,Prueba,Ruta,0,0,A99
68,AGUABLANCA,Terminal,Estacion,Zona 5 - Aguablanca,Cinco,Aguablanca,341365,"-76,481,264",Aguablanca
69,ALAMOS,Estacion,Estacion,Zona 2 - Menga,Dos,Avenida 3,3484514,"-76,513,337",Alamos
